observed_at,latitude,longitude,temperature_c,apparent_temperature_c,relative_humidity_pct,precipitation_mm,weather_code,wind_speed_kmh,wind_direction_deg
2026-08-27T10:30:00+09:00,35.18,128.11,29.8,36.7,78,0.0,1,1.5,166
2026-08-27T10:45:00+09:00,35.18,128.11,30.0,37.0,78,0.0,1,1.9,158
2026-08-28T16:00:00+09:00,35.18,128.11,27.1,33.9,95,0.4,61,5.0,120
2026-08-29T06:45:00+09:00,35.18,128.11,25.5,31.2,97,0.0,1,6.7,196
2026-08-29T07:00:00+09:00,35.18,128.11,25.6,31.5,97,0.0,1,6.8,198
2026-08-29T08:00:00+09:00,35.18,128.11,26.7,32.8,95,0.0,1,8.3,214
2026-08-29T09:00:00+09:00,35.18,128.11,28.5,34.5,86,0.0,0,9.9,224
2026-08-29T10:00:00+09:00,35.18,128.11,29.7,35.6,81,0.0,1,10.7,228
2026-08-29T11:00:00+09:00,35.18,128.11,30.3,36.1,78,0.0,2,11.6,216
2026-08-29T12:00:00+09:00,35.18,128.11,30.8,36.5,77,0.0,1,13.1,212
2026-08-29T13:00:00+09:00,35.18,128.11,31.2,36.9,76,0.0,1,14.8,209
2026-08-29T14:00:00+09:00,35.18,128.11,31.4,36.7,75,0.0,1,16.6,207
2026-08-29T15:00:00+09:00,35.18,128.11,30.7,36.2,78,0.1,51,14.6,220
2026-08-29T16:00:00+09:00,35.18,128.11,29.2,35.4,86,0.1,51,11.3,217
2026-08-29T17:00:00+09:00,35.18,128.11,29.7,35.3,82,0.0,1,14.4,217
2026-08-29T18:00:00+09:00,35.18,128.11,29.2,35.0,84,0.0,1,12.2,225
2026-08-29T19:00:00+09:00,35.18,128.11,28.1,34.2,88,0.0,1,8.4,220
2026-08-29T20:00:00+09:00,35.18,128.11,27.4,33.8,91,0.0,1,6.5,214
2026-08-29T21:00:00+09:00,35.18,128.11,26.7,33.3,95,0.0,1,5.3,208
2026-08-29T22:00:00+09:00,35.18,128.11,26.0,32.2,96,0.0,1,5.8,202
2026-08-29T23:00:00+09:00,35.18,128.11,25.5,31.4,97,0.0,1,5.5,203
2026-08-30T00:00:00+09:00,35.18,128.11,25.3,31.1,97,0.0,1,5.9,194
2026-08-30T01:00:00+09:00,35.18,128.11,25.1,30.7,97,0.0,1,6.7,196
2026-08-30T02:00:00+09:00,35.18,128.11,24.9,30.3,97,0.0,1,6.2,201
2026-08-30T03:00:00+09:00,35.18,128.11,24.4,29.6,97,0.0,0,5.5,191
2026-08-30T04:00:00+09:00,35.18,128.11,24.4,29.7,98,0.0,0,6.4,196
2026-08-30T05:00:00+09:00,35.18,128.11,23.9,29.3,99,0.0,1,4.4,189
2026-08-30T06:00:00+09:00,35.18,128.11,23.9,29.8,99,0.0,1,0.4,180
2026-08-30T07:00:00+09:00,35.18,128.11,24.2,30.0,99,0.0,3,2.3,51
2026-08-30T08:00:00+09:00,35.18,128.11,24.6,30.8,99,0.0,3,1.3,304
2026-08-30T09:00:00+09:00,35.18,128.11,26.7,33.3,91,0.0,1,2.0,315
2026-08-30T10:00:00+09:00,35.18,128.11,29.2,36.0,82,0.0,1,3.8,229
2026-08-30T11:00:00+09:00,35.18,128.11,30.5,36.9,77,0.0,1,6.6,209
2026-08-30T12:00:00+09:00,35.18,128.11,31.1,37.8,76,0.0,1,8.9,201
2026-08-30T13:00:00+09:00,35.18,128.11,30.5,37.4,79,0.1,51,9.2,211
2026-08-30T14:00:00+09:00,35.18,128.11,31.2,38.0,77,0.1,51,9.5,209
2026-08-30T15:00:00+09:00,35.18,128.11,30.5,36.9,80,0.1,51,9.6,214
2026-08-30T16:00:00+09:00,35.18,128.11,30.6,37.1,79,0.1,51,9.1,214
